value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
PubChem,123800307,123800307,0,100.0,100.0,100.0,
TOTAL_RECORDS,123800307,123800307,0,100.0,100.0,100.0,
TOTAL_ASSIGNMENTS,123800307,123800307,0,100.0,100.0,100.0,
